source_genre_term_id	genre_key	title_nl	title_en	source_name	source_slug
3048	oud	Oud	Early Music	Oud	oude-muziek
3050	oud	Oud	Early Music	Early Music	early-music
3266	klassiek	Klassiek	Classical Music	Klassiek	klassieke-muziek
3268	klassiek	Klassiek	Classical Music	Classical Music	classical-music
3320	modern	Modern	Modern Music	Modern	moderne-muziek-nl
3322	modern	Modern	Modern Music	Modern Music	modern-music
3324	hedendaags	Hedendaags	Contemporary Music	Hedendaags	hedendaagse-muziek
3326	hedendaags	Hedendaags	Contemporary Music	Contemporary Music	contemporary-music
5191	crosslinks	Crosslinks	Crosslinks	Crosslinks	crosslinks
5193	crosslinks	Crosslinks	Crosslinks	Crosslinks	crosslinks-en
16766	jazz	Jazz	Jazz	Jazz	jazz
16768	jazz	Jazz	Jazz	Jazz	jazz-en
16972	wereld	Wereld	World Music	Wereld	wereldmuziek
16974	wereld	Wereld	World Music	World Music	world-music
17030	nachten	Nachten	The Nights	Nachten	nachten
17032	nachten	Nachten	The Nights	The Nights	nights
17242	raakvlakken	Raakvlakken	Cultural Interfaces	Raakvlakken	culturele-raakvlakken
17244	raakvlakken	Raakvlakken	Cultural Interfaces	Cultural Interfaces	cultural-interfaces
17470	opera	Opera	Opera	Opera	opera
17472	opera	Opera	Opera	Opera	opera-en
