term_id	program_source_key	locale	title_nl	title_en	source_title	source_slug	genre_term_id	genre_key	source_genre_name	source_genre_slug
3052	3052	nl	De gehoorde stilte		De gehoorde stilte	de-gehoorde-stilte	5191	crosslinks	Crosslinks	crosslinks
17246	3052	nl	De gehoorde stilte		De gehoorde stilte	de-gehoorde-stilte-culturele-raakvlakken	17242	raakvlakken	Raakvlakken	culturele-raakvlakken
21328	3270	en	Het pianoatelier	The Piano Studio	The Piano Studio	het-pianoatelier__klassiek-en	3268	klassiek	Classical Music	classical-music
3270	3270	nl	Het pianoatelier	The Piano Studio	Het pianoatelier	het-pianoatelier__klassiek-nl	3266	klassiek	Klassiek	klassieke-muziek
3328	3328	nl	Bekend Nieuws?		Bekend Nieuws?	bekend-nieuws	3320	modern	Modern	moderne-muziek-nl
3330	3328	nl	Bekend Nieuws?		Bekend Nieuws?	bekend-nieuws-hedendaagse-muziek	3324	hedendaags	Hedendaags	hedendaagse-muziek
77102	5195	en	De Nacht: Hedendaags	The Night: Contemporary Music	The Night: Contemporary Music	de-nacht-hedendaags__hedendaags-en	3326	hedendaags	Contemporary Music	contemporary-music
77557	5195	en	De Nacht: Hedendaags	The Night: Contemporary Music	The Night: Contemporary Music	de-nacht-hedendaags__nachten-en	17032	nachten	The Nights	nights
5195	5195	nl	De Nacht: Hedendaags	The Night: Contemporary Music	De Nacht: Hedendaags	de-nacht-hedendaags__nachten-nl	17030	nachten	Nachten	nachten
77100	5195	nl	De Nacht: Hedendaags	The Night: Contemporary Music	De Nacht: Hedendaags	de-nacht-hedendaags__hedendaags-nl	3324	hedendaags	Hedendaags	hedendaagse-muziek
21342	16770	en	Tussen Swing en Bop	Between Swing and Bop	Between Swing and Bop	tussen-swing-en-bop__jazz-en	16768	jazz	Jazz	jazz-en
16770	16770	nl	Tussen Swing en Bop	Between Swing and Bop	Tussen Swing en Bop	tussen-swing-en-bop__jazz-nl	16766	jazz	Jazz	jazz
37230	16840	en	De Nacht: Jazz	The Night: Jazz	The Night: Jazz	de-nacht-jazz__jazz-en	16768	jazz	Jazz	jazz-en
16840	16840	nl	De Nacht: Jazz	The Night: Jazz	De Nacht: Jazz	de-nacht-jazz__jazz-nl	16766	jazz	Jazz	jazz
24227	16976	en	Wereldmuziek Actua	World Music News	World Music News	wereldmuziek-actua__wereld-en	16974	wereld	World Music	world-music
16976	16976	nl	Wereldmuziek Actua	World Music News	Wereldmuziek Actua	wereldmuziek-actua__wereld-nl	16972	wereld	Wereld	wereldmuziek
17983	16994	en	Jazz Special	Jazz Special	Jazz Special	jazz-special__jazz-en	16768	jazz	Jazz	jazz-en
16994	16994	nl	Jazz Special	Jazz Special	Jazz Special	jazz-special__jazz-nl	16766	jazz	Jazz	jazz
17018	17016	en	Concertzender Live	Concertzender Live	Concertzender Live	concertzender-live__jazz-en	16768	jazz	Jazz	jazz-en
21834	17016	en	Concertzender Live	Concertzender Live	Concertzender Live	concertzender-live__wereld-en	16974	wereld	World Music	world-music
23883	17016	en	Concertzender Live	Concertzender Live	Concertzender Live	concertzender-live__raakvlakken-en	17244	raakvlakken	Cultural Interfaces	cultural-interfaces
23885	17016	en	Concertzender Live	Concertzender Live	Concertzender Live	concertzender-live__oud-en	3050	oud	Early Music	early-music
24031	17016	en	Concertzender Live	Concertzender Live	Concertzender Live	concertzender-live__modern-en	3322	modern	Modern Music	modern-music
29940	17016	en	Concertzender Live	Concertzender Live	Concertzender Live	concertzender-live__crosslinks-en	5193	crosslinks	Crosslinks	crosslinks-en
77365	17016	en	Concertzender Live	Concertzender Live	Concertzender Live	concertzender-live__klassiek-en	3268	klassiek	Classical Music	classical-music
77368	17016	en	Concertzender Live	Concertzender Live	Concertzender Live	concertzender-live__hedendaags-en	3326	hedendaags	Contemporary Music	contemporary-music
17016	17016	nl	Concertzender Live	Concertzender Live	Concertzender Live	concertzender-live__jazz-nl	16766	jazz	Jazz	jazz
17256	17016	nl	Concertzender Live	Concertzender Live	Concertzender Live	concertzender-live__oud-nl	3048	oud	Oud	oude-muziek
17258	17016	nl	Concertzender Live	Concertzender Live	Concertzender Live	concertzender-live__wereld-nl	16972	wereld	Wereld	wereldmuziek
