term_id	locale	title	slug	genre_term_id	genre_name	genre_slug
36767	en	100 years of jazz!	100-jaar-jazz-__jazz-en	16768	Jazz	jazz-en
23743	en	230 V	230-volt__hedendaags-en	3326	Contemporary Music	contemporary-music
39608	en	75 Years of Blue Note	75-jaar-blue-note__jazz-en	16768	Jazz	jazz-en
21386	en	A Late Stroll	een-late-wandeling__klassiek-en	3268	Classical Music	classical-music
37584	en	Absolutely Classical	zuiver-klassiek__klassiek-en	3268	Classical Music	classical-music
39957	en	Acoustic Moods	acoustic-moods__wereld-en	16974	World Music	world-music
34798	en	Acoustic Roots	acoustic-roots__wereld-en	16974	World Music	world-music
142675	en	All Along Broadway	all-along-broadway__jazz-en	16768	Jazz	jazz-en
45022	en	American Highways	american-highways__hedendaags-en	3326	Contemporary Music	contemporary-music
45024	en	American Highways	american-highways__modern-en	3322	Modern Music	modern-music
77593	en	American Highways | Rush Hour	american-highways-rush-hour__hedendaags-en	3326	Contemporary Music	contemporary-music
77902	en	American Highways | Rush Hour	american-highways-rush-hour__modern-en	3322	Modern Music	modern-music
23683	en	An Early Evening Stroll	de-wandeling__klassiek-en	3268	Classical Music	classical-music
31522	en	An early morning stroll	een-vroege-wandeling__klassiek-en	3268	Classical Music	classical-music
116297	en	An Ox on the Roof	een-os-op-het-dak__hedendaags-en	3326	Contemporary Music	contemporary-music
116293	en	An Ox on the Roof	een-os-op-het-dak__raakvlakken-en	17244	Cultural Interfaces	cultural-interfaces
89314	en	Anadolu Havasi	anadolu-havasi__wereld-en	16974	World Music	world-music
21593	en	And Forever the Forests Sing....	and-forever-the-forests-sing	3268	Classical Music	classical-music
34415	en	Antiqua versus Nova	antiqua-versus-nova__oud-en	3050	Early Music	early-music
188121	en	Around the World	around_the_world__jazz-en	16768	Jazz	jazz-en
146860	en	Bach &amp; Co	bach-co__klassiek-en	3268	Classical Music	classical-music
146864	en	Bach &amp; Co	bach-co__oud-en	3050	Early Music	early-music
33174	en	Bach Ad Infinitum	geen-dag-zonder-bach__klassiek-en	3268	Classical Music	classical-music
33176	en	Bach Ad Infinitum	geen-dag-zonder-bach__oud-en	3050	Early Music	early-music
198882	en	Basement Sessions	basement_sessions__jazz-en	16768	Jazz	jazz-en
180888	en	Bazaar	bazaar__wereld-en	16974	World Music	world-music
24359	en	Beat The Music	beat-the-music	3326	Contemporary Music	contemporary-music
167574	en	Behind the Dikes	behind-the-dikes__jazz-en	16768	Jazz	jazz-en
25013	en	Belgium!	belgium	3268	Classical Music	classical-music
40119	en	Between Concert Halls and Movie Theatres	between-concert-halls-and-movie-theatres-classical-music	3268	Classical Music	classical-music
32301	en	Between Concert Halls and Movie Theatres	tussen-concertzaal-en-filmtheater__raakvlakken-en	17244	Cultural Interfaces	cultural-interfaces
55399	en	Between Dreams and Reality	tussen-droom-en-daad__klassiek-en	3268	Classical Music	classical-music
21342	en	Between Swing and Bop	tussen-swing-en-bop__jazz-en	16768	Jazz	jazz-en
232185	en	Between Your Ears	tussen-je-oren__crosslinks-en	5193	Crosslinks	crosslinks-en
28990	en	Bonum Est	bonum-est__oud-en	3050	Early Music	early-music
188125	en	Bop, Blues &amp; Boogaloo	bop_blues_boogaloo__jazz-en	16768	Jazz	jazz-en
66309	en	Brazil in a Nutshell	brazil-in-a-nutshell__wereld-en	16974	World Music	world-music
142967	en	Bureau Radiophonie	bureau_radiophonie__crosslinks-en	5193	Crosslinks	crosslinks-en
41848	en	Café Sonore	cafe-sonore__crosslinks-en	5193	Crosslinks	crosslinks-en
20603	en	Cantina Brasil	cantina-brasil__wereld-en	16974	World Music	world-music
184221	en	Cape Gonzo	kaap-gonzo__crosslinks-en	5193	Crosslinks	crosslinks-en
72886	en	Carib Calling	carib-calling__wereld-en	16974	World Music	world-music
45776	en	CD of the Week	cd-van-de-week__klassiek-en	3268	Classical Music	classical-music
34329	en	Chanson	chanson__crosslinks-en	5193	Crosslinks	crosslinks-en
58263	en	Chanson	chanson__raakvlakken-en	17244	Cultural Interfaces	cultural-interfaces
23871	en	Chronicle of Dutch Music	kroniek-van-de-nederlandse-muziek__raakvlakken-en	3268	Classical Music	classical-music
28115	en	Chronicle of Dutch Music	kroniek-van-de-nederlandse-muziek__klassiek-en	3268	Classical Music	classical-music
157805	en	Cinematheque	cinematheque__crosslinks-en	5193	Crosslinks	crosslinks-en
21330	en	Classic Czech Republic	classic-czech-republic__klassiek-en	3268	Classical Music	classical-music
35085	en	Classic Jazz	classic-jazz__jazz-en	16768	Jazz	jazz-en
28972	en	Classical Matters	klassieke-zaken__klassiek-en	3268	Classical Music	classical-music
23771	en	Classical Music Actua	klassieke-muziek-actua__klassiek-en	3268	Classical Music	classical-music
66723	en	Clear as Crystal	kraak-helder__hedendaags-en	3326	Contemporary Music	contemporary-music
31306	en	Clear as Crystal	kraak-helder__crosslinks-en	5193	Crosslinks	crosslinks-en
