program_source_key	title_nl	title_en	aliases_en	term_count	genre_count	genres
3052	De gehoorde stilte			2	2	crosslinks | raakvlakken
3270	Het pianoatelier	The Piano Studio		2	1	klassiek
3328	Bekend Nieuws?			2	2	hedendaags | modern
5195	De Nacht: Hedendaags	The Night: Contemporary Music		4	2	hedendaags | nachten
16770	Tussen Swing en Bop	Between Swing and Bop		2	1	jazz
16840	De Nacht: Jazz	The Night: Jazz		2	1	jazz
16976	Wereldmuziek Actua	World Music News		2	1	wereld
16994	Jazz Special	Jazz Special		2	1	jazz
17016	Concertzender Live	Concertzender Live		16	8	crosslinks | hedendaags | jazz | klassiek | modern | oud | raakvlakken | wereld
17024	¡Mambo!	¡Mambo!		2	1	wereld
17048	De Geschiedenis van de Jazz			1	1	jazz
17116	Concertzender Archief	Concertzender Archive		10	5	hedendaags | jazz | klassiek | modern | wereld
17118	Nieuwe Muziek Actua			1	1	hedendaags
17124	Super Audio			1	1	klassiek
17154	Bijdetijds	Nowadays	Contemporary Music	5	2	hedendaags | modern
17164	Missa est			1	1	oud
17170	Oude Muziek Actua	Early Music News		2	1	oud
17196	Een late wandeling	A Late Stroll		2	1	klassiek
17198	Klassieke Muziek Actua	Classical Music Actua		2	1	klassiek
17200	Overige	Other		16	8	crosslinks | hedendaags | jazz | klassiek | modern | oud | raakvlakken | wereld
17202	Pakrammel	Pakrammel		4	2	crosslinks | hedendaags
17204	Popart	Popart		4	2	crosslinks | hedendaags
17208	Oriënt Express	Orient Express		2	1	wereld
17210	Wereldmineralen	World Minerals		2	1	wereld
17232	Ochtendeditie	Morning Edition		2	1	klassiek
17248	Thema	Theme		6	3	hedendaags | klassiek | raakvlakken
17254	Zwerven door de Middeleeuwen	Wandering the Medieval		2	1	oud
17260	230 Volt	230 V		2	1	hedendaags
17286	Het Grote Geluid	The Big Sound		2	1	jazz
17291	The Jazz Connection	The Jazz Connection		2	1	jazz
17306	Stemmen van de Nacht			1	1	nachten
17310	Jazz Actua	Jazz Actua		2	1	jazz
17312	Spinning the Blues	Spinning the Blues		4	2	crosslinks | jazz
17318	Rhythm is our Business	Rhythm is our Business		2	1	jazz
17323	The Art of the Improvisers	The Art of the Improvisers		2	1	jazz
17330	Lüdeke Straightahead	Lüdeke Straight Ahead		2	1	jazz
17362	Krizz Krazz	Krizz Krazz		2	1	jazz
17370	My Own Label			1	1	jazz
17374	Mariama	Mariama		2	1	wereld
17380	Klankenstapper	Klankenstapper		3	2	klassiek | wereld
17382	OpgeHoesd	OpgeHoesd		6	4	crosslinks | jazz | klassiek | wereld
17400	Gramophoon	Gramophone		3	2	jazz | raakvlakken
17406	Kroniek van de Nederlandse Muziek	Chronicle of Dutch Music		3	1	klassiek
17408	Tussen Droom en Daad	Between Dreams and Reality		2	1	klassiek
17422	De Muzikant	The Musician		2	1	raakvlakken
17434	Rossini Compleet			1	1	klassiek
17438	Bob Dylan			2	1	crosslinks
17450	Metamorfosen	Metamorphoses		2	1	wereld
17474	De Diva op de erwt	Diva’s Delight		4	1	opera
17510	De Wereld Draait			2	1	wereld
17524	EBU Concerten			3	3	hedendaags | klassiek | wereld
17532	Paul Korenhofs Opera Actueel	Paul Korenhof Browsing the Opera		4	2	klassiek | opera
17544	De Nacht: Klassiek	The Night: Classical		4	2	klassiek | nachten
17548	De Nacht: Oude Muziek	The Night: Early Music		2	1	oud
17564	Villa-Lobos			1	1	klassiek
17574	Perotinus & Co			1	1	oud
17582	De Zwervende Microfoon	The Wandering Microphone		2	1	wereld
17592	Donder, bliksem en manenschijn			1	1	raakvlakken
17594	Ongehoorde Scores	Unheard Scores		3	2	klassiek | raakvlakken
17610	Il Futurismo	Il Futurismo		2	2	crosslinks | hedendaags
17688	De Klankbron	The Source of Sound		2	1	wereld
17720	Het Paleis van de Weemoed	The Palace of Nostalgia		2	1	jazz
17723	Off the Record	Off the Record		2	1	jazz
17742	Concertzender.nl			1	1	raakvlakken
17750	Nieuw verschenen	New releases		8	6	hedendaags | jazz | klassiek | modern | oud | wereld
17861	Off the Beaten Track(s)	Off the Beaten Track(s)		2	1	jazz
17866	Traditional Jazz	Traditional Jazz		2	1	jazz
17920	Concertagenda			2	2	jazz | klassiek
17922	Het Bachlabyrint			2	2	klassiek | oud
17924	Gesprek onder acht ogen	Conversation Under Eight Eyes.		2	1	klassiek
17948	Live Jazz	Live Jazz		2	1	jazz
17956	Holiday for Hipsters	Holiday for Hipsters		2	1	jazz
17958	Revival			1	1	jazz
18042	The Sound of Movies	The Sound of Movies		2	1	raakvlakken
18074	Nederlandse Muziek			1	1	klassiek
18348	De duif van Gregorius	The dove of Gregorius		3	2	oud | raakvlakken
18696	Poesie album			1	1	raakvlakken
18834	Bachbloed			1	1	oud
18846	Grand Café Europa	Grand Café Europe		2	1	klassiek
18849	En profil	En Profil		2	1	klassiek
18861	En face	En face		2	1	klassiek
19172	De vroege ochtend			1	1	klassiek
19187	Entrata	Entrata		3	2	klassiek | oud
19294	Holland Jazz	Holland Jazz		2	1	jazz
19424	De Barokke Speeldoos	The Baroque Music Box		3	2	klassiek | oud
19612	De dromen van Charles Ives			1	1	modern
19715	Missa Etcetera	Missa Etcetera		2	1	oud
20073	Folk It!	Folk It!		4	2	crosslinks | wereld
20492	Combo Swing	Combo Swing		3	2	jazz | klassiek
20499	Elgars afscheid			1	1	klassiek
20503	De complete Haydn	The complete Haydn		2	1	oud
20536	De Tuin van Oud	The Early Garden		2	1	oud
20570	De Musea	The Museums		2	1	raakvlakken
20597	Cantina Brasil	Cantina Brasil		2	1	wereld
20776	Appendix			1	1	klassiek
20799	Gharana	Gharana		2	1	wereld
20833	Colours of Albion			1	1	klassiek
20957	Klassiek Tsjechië			1	1	klassiek
20984	Bazaar	Bazaar		2	1	wereld
21049	Hard Bop Boulevard	Hard Bop Boulevard		2	1	jazz
21330		Classic Czech Republic		1	1	klassiek
21352		Elgar’s Goodbye		1	1	klassiek
21356	Let’s Movie!	Let’s Movie!		5	4	crosslinks | klassiek | raakvlakken | wereld
21364	Karavan’serai	Karavan’serai		2	1	jazz
21412	Moanin’ the Blues	Moanin’ the Blues		2	1	jazz
21556	Russische sprookjes			1	1	raakvlakken
